ID,Roll Number,Name,Department,Phone,Email,Obtained Marks,Total Marks,Attendance %
83,24400124083,Dharmajan Deshpande,ECE,8098139135,jhanvi83@gmail.com,490,500,87.8
84,24400124084,Baiju Chand,ECE,8309699876,shanaya84@gmail.com,475,500,86.9
85,24400124085,Faiyaz Issac,CSE,7969069610,prerak85@gmail.com,457,500,99.2
86,24400124086,Rati Keer,ME,8360422560,pihu86@gmail.com,456,500,99.0
87,24400124087,Bhavin Sarraf,CSE,8579149638,mannat87@gmail.com,492,500,90.7
88,24400124088,Charvi Dixit,EE,7650816958,indrans88@gmail.com,312,500,67.7
89,24400124089,Nirvaan Raja,ECE,9904429521,taran89@gmail.com,444,500,96.5
90,24400124090,Dishani Lad,CE,9995385887,charvi90@gmail.com,489,500,56.0
91,24400124091,Nehmat Dhingra,CSE,6449530622,azad91@gmail.com,440,500,57.3
92,24400124092,Hrishita Kadakia,ECE,7344573348,anya92@gmail.com,379,500,73.2
93,24400124093,Kaira Sabharwal,ME,6879077447,faiyaz93@gmail.com,496,500,69.2
94,24400124094,Mahika Reddy,ECE,9074457875,zeeshan94@gmail.com,394,500,79.1
95,24400124095,Hridaan Raman,ME,7422590281,aniruddh95@gmail.com,388,500,74.4
96,24400124096,Anaya Sarkar,CSE,6872297616,yakshit96@gmail.com,465,500,89.6
97,24400124097,Vidur Dey,ECE,6387347884,tarini97@gmail.com,375,500,75.2
98,24400124098,Alia Jayaraman,CE,7365774608,aniruddh98@gmail.com,387,500,60.4
99,24400124099,Indranil Dasgupta,CSE,9688494767,hiran99@gmail.com,319,500,69.0
100,24400124100,Hridaan Sachdev,ECE,8060311212,charvi100@gmail.com,365,500,95.5
